MR,MH,AR,EH,PR,ALP
1.143650902,0.211004916,0.549663728,0.794146212,0.67904512,0.042039209
1.336783055,-0.951307846,-0.265899975,-1.375336814,-0.317677902,-0.291588647
1.255543562,-0.541253331,-0.086298618,0.428469573,0.48047619,0.754317496
1.4488547,0.991886294,1.572184554,0.67619761,1.030755016,-0.240207327
1.031622365,-0.957065019,-0.41848548,-1.087596257,0.057513428,-0.291588647
1.236473461,-0.199882399,-0.39098464,-0.090001187,0.39609038,-0.860547518
1.103785306,-0.687227404,-0.026559719,-1.87963184,-1.131185118,-1.548082129
1.271482707,-0.024614361,0.329787797,0.912216217,0.828574318,0.208999656
1.484156251,0.716498093,0.246979001,1.042427298,0.868003744,0.433761927
1.24211538,-0.279370279,0.204094807,0.564999934,0.701620137,-0.398612344
1.156877306,-0.639807313,0.15126809,0.19070789,0.608545949,-0.45439629
1.305596206,-0.362577637,0.021865111,-0.732524401,-0.570789896,-0.482889777
1.279913726,-0.637342976,0.537779778,0.359007982,0.134018596,-0.09383027
1.381411161,0.486478101,0.299871167,1.306202667,1.143562389,0.89448899
1.237119659,-1.266445749,-0.980863481,-0.333989343,-0.375435119,-0.19015971
1.750982851,1.566606611,2.069133599,1.026657825,0.978947438,0.754317496
1.398599145,-0.161455767,0.932024373,1.142213416,1.1280817,-0.047439895
1.664816019,0.981732029,1.469990608,1.478625115,1.610748352,1.143435643
1.617609502,1.566606611,1.926732884,1.325532977,1.682287307,0.724823981
1.484027166,0.299372504,1.260846418,1.026657825,0.67904512,1.060578233
1.080945594,-1.175337915,-1.419134922,-1.087596257,-0.501501429,-1.548082129
1.173260602,-0.180562373,-0.446339057,-1.375336814,-1.013033438,-1.799182955
1.06796316,0.149653456,-0.140952288,-0.041319846,0.134018596,-0.759372037
0.924713148,-0.687227404,-1.661823269,0.490793606,0.584053015,-0.45439629
0.774882813,-0.637342976,-1.877596293,0.30787433,-0.210857502,-0.759372037
1.243561679,1.006951921,0.587119397,-0.607769054,-1.265758561,0.754317496
0.963888001,-0.922755871,-1.898658731,0.003854829,-0.113783382,-0.19015971
0.77652909,-1.605553951,-1.057564938,-0.041319846,0.205549088,-0.45439629
0.933062874,-0.320492801,-1.371881149,-0.263666195,-0.907584193,0.248464364
0.924713148,-0.239177257,-1.268498273,-0.503090299,-1.265758561,0.569190867
1.072615811,-0.072605555,-0.700548013,-0.732524401,-0.317677902,-0.759372037
0.34224292,-1.474862904,-0.886992447,-1.87963184,-1.422440464,-2.02189717
1.063292514,-0.728113053,-1.22935564,-0.200339483,-0.436562238,0.433761927
1.126196578,-0.087093951,-0.27327349,-0.886620636,-0.645089544,-0.792548949
1.10016009,-0.396961422,-1.021478682,-0.041319846,-0.436562238,-0.19015971
0.788539009,-1.894181813,-0.970812327,0.850763123,-0.317677902,0.042039209
1.044427662,-0.40565917,-0.664966284,-0.142764831,-1.131185118,-0.45439629
1.001211218,1.245377587,1.058738861,-0.732524401,-0.812267101,-0.759372037
1.279913726,0.38657196,0.421697885,-1.87963184,-0.907584193,-0.759372037
0.966591524,-0.997809682,-1.078419602,-0.333989343,-1.013033438,-0.240207327
1.64023414,0.768230572,0.269440532,-1.375336814,-1.847461061,-0.45439629
0.965916194,-0.386146874,-1.503845091,-1.087596257,-1.131185118,-0.141386026
1.196019077,0.511312797,0.324386076,-1.087596257,-1.131185118,0.343511644
1.404871206,0.473893553,0.215630062,-1.087596257,-2.695546854,1.538871603
1.229015927,0.211307153,-0.406656591,-1.375336814,-1.422440464,-1.040926643
1.754643105,-0.015877426,-0.036390994,-1.87963184,-1.847461061,-0.482889777
1.322647021,0.473893553,0.169045971,-0.413002038,-1.013033438,0.228839222
1.726186167,1.608397798,1.105000386,1.026657825,0.205549088,1.35878572
2.192995143,2.143330713,1.949154753,1.167818833,-0.113783382,1.547782104
1.52814373,1.384576189,1.30322983,1.215842009,0.48047619,1.297229814
2.031397183,1.846238832,2.292875318,0.95892369,0.239652166,1.634080354
1.572725041,1.29362745,1.213976042,0.931348878,0.6325279,0.694808823
1.778437522,1.301239428,0.832879785,1.03459608,0.584053015,1.120195265
1.750883731,0.715494658,1.017780929,1.161523492,1.328635391,0.601465022
1.928579805,2.077941028,1.8574298,1.167818833,0.39609038,1.143435643
1.746711493,0.716498093,0.594046742,1.24393388,0.961164157,1.096612855
1.530616498,1.063716722,0.753869923,1.192332524,0.828574318,0.89448899
1.706982729,1.722556685,1.37726274,1.301265676,0.33611037,1.143435643
1.729434709,0.768230572,1.046919874,0.985255166,0.996468397,1.023722093
1.450054874,0.629168978,0.28886562,1.429430584,0.6325279,1.143435643
2.040243241,1.656831933,1.869631962,0.931348878,0.533438712,1.634080354
1.856593154,0.716498093,1.197451694,1.330264557,1.392954592,1.143435643
1.646794792,0.911683042,0.607812423,1.002171225,0.701620137,1.143435643
1.942718916,1.5176951,1.448119677,1.03459608,0.766824487,1.35878572
2.028550092,1.8189002,1.908366534,1.388432076,0.978947438,1.887422934
1.689825377,1.110181996,0.388128377,1.565701787,1.823165306,1.254798878
1.597788925,-0.215494509,0.297126176,1.24393388,0.961164157,1.023722093
1.893423979,1.566606611,0.858308358,1.677683527,1.866857611,1.348694569
1.963359314,2.12378743,2.476121024,1.348806166,1.682287307,0.907878862
2.136176398,-0.692285987,0.501603315,1.115416887,1.546001285,0.433761927
1.876408279,0.97217373,2.434185195,1.291261369,1.600187325,1.33853719
1.695612828,0.778328952,1.108244027,1.43337123,1.442093054,1.456215209
1.98529961,0.998606508,0.898470295,1.884417595,1.328635391,2.114362146
1.967289359,1.581698955,1.618273174,1.641004891,1.417768579,1.715621347
2.019508901,1.45092938,1.364141219,2.043061758,1.405424067,2.126269235
0.912083825,-0.015877426,-0.787290201,0.359007982,0.39609038,0.248464364
1.352200682,0.149653456,-0.000582751,-0.041319846,0.017156238,-0.930848077
1.343416878,-0.229270532,0.130309516,-0.413002038,-0.024755022,-0.45439629
1.252520018,-0.330922477,-0.532082664,-0.503090299,0.134018596,-1.117626451
1.184244636,-1.594069535,-1.383617683,-0.200339483,0.017156238,-1.454985224
0.804663652,-0.957065019,-0.466454061,-0.413002038,-0.210857502,-1.117626451
0.725735253,-1.54866954,-1.57857094,0.003854829,-0.068351822,-0.631798784
0.472777958,-1.403289324,-1.969952226,-0.090001187,-0.375435119,-0.45439629
1.244203893,-0.754013573,-0.37155359,-0.886620636,-0.317677902,-0.895401527
0.7889271,-1.474862904,-0.901577426,-0.732524401,-0.024755022,-1.365637036
1.09104871,-0.817695454,-0.039679089,-0.503090299,-0.210857502,-0.759372037
0.677236754,-2.04490416,-1.17987319,0.003854829,0.608545949,-1.117626451
0.929938222,-1.015513429,-1.042036036,-0.263666195,-0.501501429,-0.19015971
0.865327441,-2.416020129,-1.503845091,-0.333989343,0.304874009,-1.548082129
1.227388301,-1.236755638,-0.732134487,-0.886620636,-0.645089544,-1.322287127
1.053896774,-0.845101857,-0.877317462,0.045985379,-0.501501429,-0.141386026
0.995947811,-0.449773445,-0.782644463,-1.375336814,-1.265758561,-1.548082129
1.053393615,-1.648133065,-0.638635012,-0.607769054,-1.131185118,-0.45439629
0.656565157,-1.868470291,-2.178887137,0.757374664,0.096432998,0.89448899
1.463036996,0.11788958,-0.079570982,-1.375336814,-0.812267101,-1.548082129
0.766620328,-0.957065019,-1.17987319,0.157570278,0.48047619,-0.141386026
1.015570548,-0.279370279,-1.610302865,-0.503090299,-0.645089544,0.248464364
0.815430308,-1.54866954,-2.660636132,0.122557188,0.205549088,-1.279779698
1.229015927,0.425023944,-0.193571473,-0.886620636,-1.422440464,-1.117626451
0.70852713,-1.4388034,-2.537766752,1.101537114,0.39609038,0.867380311
0.892900059,-1.403289324,-1.073189827,-1.087596257,-0.645089544,-1.117626451
0.803973383,-0.928435294,-2.312879336,-0.732524401,-0.317677902,-0.792548949
